data;scadenza;prezzo;tipo;prodotto;fonte
2025-11-11;lug-27;258.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-11-12;lug-27;257.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-11-13;lug-27;257.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-11-14;lug-27;257.0;PDT;GRANO DURO;PDF (PDT  PMG.PDF)
2025-11-17;lug-27;256.0;PDT;GRANO DURO;PDF (PDT  PMG.PDF)
2025-11-18;lug-27;259.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-11-19;lug-27;259.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-11-20;lug-27;258.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-11-21;lug-27;256.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-11-24;lug-27;255.0;PDT;GRANO DURO;PDF (PDT  PMG.PDF)
2025-11-25;lug-27;254.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-11-26;lug-27;254.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-11-27;lug-27;254.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-11-28;lug-27;254.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-12-01;lug-27;251.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-12-02;lug-27;251.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-12-03;lug-27;253.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-12-04;lug-27;252.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-12-05;lug-27;252.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2025-12-09;lug-27;251.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-12-10;lug-27;250.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-12-11;lug-27;251.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2025-12-12;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2025-12-15;lug-27;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2025-12-16;lug-27;249.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-12-17;lug-27;247.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-12-18;lug-27;247.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2025-12-19;lug-27;247.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2025-12-22;lug-27;248.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2025-12-23;lug-27;248.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2025-12-29;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2025-12-30;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-01-05;lug-27;248.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-01-07;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-01-08;lug-27;250.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-01-09;lug-27;249.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-01-12;lug-27;256.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-01-13;lug-27;254.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-01-14;lug-27;255.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-01-15;lug-27;255.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-01-16;lug-27;254.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-01-19;lug-27;257.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-01-20;lug-27;255.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-01-21;lug-27;255.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
2026-01-22;lug-27;252.0;PDT;GRANO DURO;PDF (PDT & PMG.pdf)
